Observation_Label	Observation_Type	Latitude	Longitude	Year	Mon	Day	State	County
es20170623.01	General	42.35913333	-84.8361	2017	06	23	Michigan	Calhoun County
es20170623.02	General	42.3566	-84.83406667	2017	06	23	Michigan	Calhoun County
es20170808.01	General	42.59586667	-85.8138	2017	08	08	Michigan	Allegan County
es20170717.01	Wetland Determination	43.10096667	-84.42356667	2017	07	17	Michigan	Clinton County
es20170808.02	General	42.5957	-85.81178333	2017	08	08	Michigan	Allegan County
es20170823.01	Wetland Determination	42.47405	-85.00288333	2017	08	23	Michigan	Eaton County
es20170823.02	Wetland Determination	42.47485	-85.00173333	2017	08	23	Michigan	Eaton County
es20170823.03	Wetland Determination	42.48001667	-84.98778333	2017	08	23	Michigan	Eaton County
es20170823.04	Wetland Determination	42.48031667	-84.98643333	2017	08	23	Michigan	Eaton County
es20170915.01	General	43.01045	-84.80825	2017	09	15	Michigan	Clinton County
es20170525.01	Medium Intensity Plot: Strata	43.14305	-84.90566667	2017	05	25	Michigan	Montcalm County
es20170717.02	Wetland Determination	43.10128333	-84.42363333	2017	07	17	Michigan	Clinton County
es20170727.01	Wetland Determination	42.58751667	-84.98263333	2017	07	27	Michigan	Eaton County
es20170727.02	Wetland Determination	42.58761667	-84.98478333	2017	07	27	Michigan	Eaton County
es20170727.03	Wetland Determination	42.58918333	-84.98386667	2017	07	27	Michigan	Eaton County
es20170731.01	Wetland Determination	43.22628333	-85.82843333	2017	07	31	Michigan	Muskegon County
es20170731.02	Wetland Determination	43.22585	-85.8259	2017	07	31	Michigan	Muskegon County
es20170731.03	Wetland Determination	43.22703333	-85.82493333	2017	07	31	Michigan	Muskegon County
es20180601.01	General	42.62008333	-84.1051	2018	06	01	Michigan	Livingston County
gs20180823.04	Wetland Determination	41.86368333	-86.6257	2018	08	23	Michigan	Berrien County
gs20180823.05	Wetland Determination	41.86213333	-86.6252	2018	08	23	Michigan	Berrien County
gs20180813.01	Wetland Determination	42.22551389	-85.46240278	2018	08	13	Michigan	Kalamazoo County
gs20180813.02	Wetland Determination	42.22554167	-85.46136389	2018	08	13	Michigan	Kalamazoo County
gs20180813.03	Wetland Determination	42.22621111	-85.45951111	2018	08	13	Michigan	Kalamazoo County
gs20180830.01	Wetland Determination	42.4287	-84.62686667	2018	08	30	Michigan	Eaton County
gs20180830.02	Wetland Determination	42.42865	-84.62853333	2018	08	30	Michigan	Eaton County
gs20180830.03	Wetland Determination	42.67708333	-85.05843333	2018	08	30	Michigan	Eaton County
gs20180830.04	Wetland Determination	42.67745	-85.06096667	2018	08	30	Michigan	Eaton County
gs20180912.02	Wetland Determination	41.80523333	-85.0235	2018	09	12	Michigan	Branch County
es20180608.01	General	42.71981667	-84.08468333	2018	06	08	Michigan	Livingston County
gs20180912.01	Wetland Determination	41.80605	-85.02531667	2018	09	12	Michigan	Branch County
gs20180912.03	Wetland Determination	41.80735	-85.02846667	2018	09	12	Michigan	Branch County
gs20180912.04	Wetland Determination	41.80681667	-85.02731667	2018	09	12	Michigan	Branch County
gs20180912.05	Wetland Determination	41.80718333	-85.02478333	2018	09	12	Michigan	Branch County
gs20180912.06	Wetland Determination	41.80081667	-85.02765	2018	09	12	Michigan	Branch County
gs20180919.01	Wetland Determination	42.14736667	-85.1124	2018	09	19	Michigan	Calhoun County
gs20180919.02	Wetland Determination	42.14821667	-85.11281667	2018	09	19	Michigan	Calhoun County
gs20180919.03	Wetland Determination	42.14881667	-85.1134	2018	09	19	Michigan	Calhoun County
gs20180919.04	Wetland Determination	42.1498	-85.11333333	2018	09	19	Michigan	Calhoun County
gs20180919.05	Wetland Determination	42.15051667	-85.11405	2018	09	19	Michigan	Calhoun County
gs20180816.01	Wetland Determination	41.86766667	-86.14531667	2018	08	16	Michigan	Cass County
gs20180927.01	Wetland Determination	42.74455	-84.79406667	2018	09	27	Michigan	Eaton County
gs20180927.02	Wetland Determination	42.74221667	-84.78923333	2018	09	27	Michigan	Eaton County
gs20181003.01	Wetland Determination	42.49666667	-84.72553333	2018	10	03	Michigan	Eaton County
gs20181003.02	Wetland Determination	42.48851667	-84.72446667	2018	10	03	Michigan	Eaton County
gs20181003.03	Wetland Determination	42.4877	-84.72413333	2018	10	03	Michigan	Eaton County
gs20181003.04	Wetland Determination	42.4871	-84.72405	2018	10	03	Michigan	Eaton County
gs20181003.05	Wetland Determination	42.48788333	-84.72568333	2018	10	03	Michigan	Eaton County
gs20180816.02	Wetland Determination	41.8689	-86.14553333	2018	08	16	Michigan	Cass County
gs20180816.03	Wetland Determination	41.8665	-86.15036667	2018	08	16	Michigan	Cass County
gs20180816.04	Wetland Determination	41.86418333	-86.15003333	2018	08	16	Michigan	Cass County
gs20180823.01	Wetland Determination	41.81015	-86.64468333	2018	08	23	Michigan	Berrien County
gs20180823.02	Wetland Determination	41.84548333	-86.51905	2018	08	23	Michigan	Berrien County
gs20180823.03	Wetland Determination	41.84708333	-86.5187	2018	08	23	Michigan	Berrien County
GRR1	Temperature	44.3602778	-85.6794444	2019	06	26	Michigan	Wexford County
s20190820.01	Wetland Determination	42.52086389	-85.03696111	2019	08	20	Michigan	Eaton County
s20190820.02	Wetland Determination	42.52207778	-85.03587778	2019	08	20	Michigan	Eaton County
s20190820.03	Wetland Determination	42.52344722	-85.03693889	2019	08	20	Michigan	Eaton County
s20190820.04	Wetland Determination	42.52143611	-85.03438056	2019	08	20	Michigan	Eaton County
s20190905.01	Wetland Determination	42.04503889	-84.92260556	2019	09	05	Michigan	Branch County
s20190905.02	Wetland Determination	41.79265556	-84.92278056	2019	09	05	Michigan	Branch County
s20190905.03	Wetland Determination	41.78917222	-84.92298056	2019	09	05	Michigan	Branch County
s20190905.04	Wetland Determination	41.79523889	-84.92624444	2019	09	05	Michigan	Branch County
s20191010.01	Soil	44.10582222	-84.28794722	2019	10	10	Michigan	Gladwin County
s20191010.02	Soil	44.040675	-84.27964444	2019	10	10	Michigan	Gladwin County
GRR2	Temperature	44.3701389	-85.7571111	2019	06	26	Michigan	Wexford County
s20191017.01	Soil	43.90746944	-84.24554444	2019	10	17	Michigan	Gladwin County
s20191017.02	Soil	44.14088333	-84.31208056	2019	10	17	Michigan	Gladwin County
GRR5	Temperature	43.68175	-85.5799722	2019	06	26	Michigan	Newaygo County
GRR6	Temperature	43.631	-85.7725278	2019	06	26	Michigan	Newaygo County
s20190722.01	Wetland Determination	42.51628333	-84.83256944	2019	07	22	Michigan	Eaton County
s20190722.02	Wetland Determination	42.516575	-84.83180556	2019	07	22	Michigan	Eaton County
s20190722.03	Wetland Determination	43.01968889	-84.75250278	2019	07	22	Michigan	Clinton County
s20190722.04	Wetland Determination	43.01952222	-84.75435278	2019	07	22	Michigan	Clinton County
s20190726.01	Soil	43.15525556	-86.05971111	2019	09	12	Michigan	Muskegon County
