"phase","Taxon","order","under","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top"
"6","Cornus obliqua",3,2.11109000021111,"COOB9","Shrub/Subshrub","Native",0,4.5,0.5,2
"6","Zanthoxylum americanum",3,1.88887000018889,"ZAAM","Shrub/Subshrub","Native",0,3,0.5,3
"6","Lindera benzoin",3,1.33332000013333,"LIBE3","Shrub/Subshrub","Native",0,2.5,0.5,2
"6","Cornus racemosa",3,0.68814127414274,"CORA6","Shrub/Subshrub","Native",0,1.5,0.5,2
"6","Cornus racemosa",3,0.68814127414274,"CORA6","Shrub/Subshrub","Native",0,0.3,,
"6","Rubus allegheniensis",3,0.444440000044444,"RUAL","Shrub/Subshrub","Native",0,0.5,0.5,2
"6","Ilex verticillata",3,0.333330000033338,"ILVE","Shrub/Subshrub","Native",0,0.5,0.5,2
"6","Rosa palustris",3,0.333330000033338,"ROPA","Shrub/Subshrub","Native",0,0.5,0.5,2
"6","Ligustrum vulgare",3,0.222220000022222,"LIVU","Shrub/Subshrub","Introduced",0,0.3,0.5,2
"6","Sambucus racemosa",3,0.111110000011116,"SARA2","Shrub/Subshrub","Native",0,0.2,0.5,2
"6","Spiraea alba",3,0.0555550000055582,"SPAL2","Shrub/Subshrub","Native",0,0.1,0.5,1
"6","Toxicodendron radicans",4,5.37723084990701,"TORA2","Vine/Liana","Native",0,4,1,5
"6","Toxicodendron radicans",4,5.37723084990701,"TORA2","Vine/Liana","Native",1,9,0,
"6","Vitis riparia",4,3.77366600778397,"VIRI","Vine/Liana","Native",0,13,1,5
"6","Vitis riparia",4,3.77366600778397,"VIRI","Vine/Liana","Native",0,0.4,0,
"6","Parthenocissus quinquefolia",4,2.41775364468533,"PAQU2","Vine/Liana","Native",0,0.5,1,5
"6","Parthenocissus quinquefolia",4,2.41775364468533,"PAQU2","Vine/Liana","Native",0,7,0,
"6","Menispermum canadense",4,0.0555550000055582,"MECA3","Vine/Liana","Native",0,0.1,0,
"6","Phalaris arundinacea",5,20.3331300020333,"PHAR3","Grass/grass-like (Graminoids)","Native",4,45,1,1.5
"6","Glyceria striata",5,11.5554400011555,"GLST","Grass/grass-like (Graminoids)","Native",0,30,1,1.5
"6","Carex bromoides",5,9.22213000092221,"CABR14","Grass/grass-like (Graminoids)","Native",0,14,0.1,0.3
"6","Carex vulpinoidea",5,7.64436800076443,"CAVU2","Grass/grass-like (Graminoids)","Native",0,20,1,1
"6","Carex lupulina",5,5.22217000052222,"CALU4","Grass/grass-like (Graminoids)","Native",0,12,1,1.5
"6","Leersia virginica",5,4.66662000046666,"LEVI2","Grass/grass-like (Graminoids)","Native",0,9,1,1
"6","Carex lacustris",5,3.88885000038889,"CALA16","Grass/grass-like (Graminoids)","Native",0,6,1,1.5
"6","Cinna arundinacea",5,3.49996500034999,"CIAR2","Grass/grass-like (Graminoids)","Native",0.3,10,1,1.5
"6","Carex grayi",5,2.24442200022444,"CAGR5","Grass/grass-like (Graminoids)","Native",0,6,1,1
"6","Carex gracillima",5,1.77776000017777,"CAGR2","Grass/grass-like (Graminoids)","Native",0,4.5,1,1
"6","Poa trivialis",5,1.66665000016667,"POTR2","Grass/grass-like (Graminoids)","Introduced",0,2.5,1,1
"6","Carex lurida",5,1.55554000015555,"CALU5","Grass/grass-like (Graminoids)","Native",0,2.5,1,1
"6","Carex stipata",5,1.55554000015555,"CAST5","Grass/grass-like (Graminoids)","Native",0,2.5,1,1
"6","Poa compressa",5,1.55554000015555,"POCO","Grass/grass-like (Graminoids)","Introduced",0,2.5,0.5,0.5
"6","Elymus hystrix",5,1.44443000014445,"ELHY","Grass/grass-like (Graminoids)","Native",0,2,0,
"6","Leersia oryzoides",5,1.44443000014445,"LEOR","Grass/grass-like (Graminoids)","Native",0,2,1,1.5
"6","Agrostis gigantea",5,0.666660000066666,"AGGI2","Grass/grass-like (Graminoids)","Introduced",0,1,0.5,0.5
"6","Carex crawfordii",5,0.666660000066666,"CACR4","Grass/grass-like (Graminoids)","Native",0,1,0,
"6","Carex squarrosa",5,0.666660000066666,"CASQ2","Grass/grass-like (Graminoids)","Native",0,1,1,1
"6","Bromus inermis",5,0.111110000011116,"BRIN2","Grass/grass-like (Graminoids)","Introduced",0,0.2,1,1.5
"6","Carex cristatella",5,0.0222220000022255,"CACR7","Grass/grass-like (Graminoids)","Native",0,0,1,1
"6","Carex radiata",5,0.0222220000022255,"CARA8","Grass/grass-like (Graminoids)","Native",0,0,0,
"6","Laportea canadensis",6,7.44437000074444,"LACA3","Forb/Herb","Native",0,15,0,
"6","Boehmeria cylindrica",6,5.1110600005111,"BOCY","Forb/Herb","Native",0.3,14,1,1
"6","Solidago gigantea",6,3.55552000035555,"SOGI","Forb/Herb","Native",0,5,1,1.5
"6","Impatiens capensis",6,3.22219000032222,"IMCA","Forb/Herb","Native",0,5,1,1.5
"6","Phytolacca americana",6,2.33331000023334,"PHAM4","Forb/Herb","Native",0,6,1,1.5
"6","Solidago altissima",6,2.11109000021111,"SOAL6","Forb/Herb","Native",0,5,1,1
"6","Persicaria virginiana",6,1.9999800002,"PEVI13","Forb/Herb","Native",0.5,4,0,
"6","Bidens frondosa",6,1.88887000018889,"BIFR","Forb/Herb","Native",0,3,1,1
"6","Hackelia virginiana",6,1.88887000018889,"HAVI2","Forb/Herb","Native",0,3,0,
"6","Persicaria hydropiperoides",6,1.49998500014999,"PEHY7","Forb/Herb","Native",0,3.5,0,
"6","Persicaria pensylvanica",6,1.44443000014445,"PEPE19","Forb/Herb","Native",0,2,0,
"6","Eupatorium perfoliatum",6,1.42220800014222,"EUPE3","Forb/Herb","Native",0,3.5,0,
"6","Pilea pumila",6,1.22221000012223,"PIPU2","Forb/Herb","Native",0,2.5,0,
"6","Epilobium coloratum",6,0.777770000077782,"EPCO","Forb/Herb","Native",0,2,1,1
"6","Geum canadense",6,0.777770000077782,"GECA7","Forb/Herb","Native",0.2,1.5,0.1,0.2
"6","Bidens vulgata",6,0.666660000066666,"BIVU","Forb/Herb","Native",0,1,0,
"6","Podophyllum peltatum",6,0.55555000005556,"POPE","Forb/Herb","Native",0,1,0,
"6","Symphyotrichum ontarionis",6,0.444440000044444,"SYON2","Forb/Herb","Native",0,0.5,0,
"6","Symphyotrichum lanceolatum",6,0.355552000035553,"SYLA6","Forb/Herb","Native",0,1,0,
"6","Arctium minus",6,0.333330000033338,"ARMI2","Forb/Herb","Introduced",0,0.5,0,
"6","Circaea canadensis",6,0.333330000033338,"CICA13","Forb/Herb","Native",0,0.5,0,
"6","Erigeron philadelphicus",6,0.333330000033338,"ERPH","Forb/Herb","Native",0,0.5,1,1
"6","Fragaria virginiana",6,0.333330000033338,"FRVI","Forb/Herb","Native",0,0.5,0,
"6","Lemna turionifera",6,0.333330000033338,"LETU2","Forb/Herb","Native",0,0.5,0,
"6","Viola sororia",6,0.333330000033338,"VISO","Forb/Herb","Native",0,0.5,1,1.5
"6","Penthorum sedoides",6,0.166665000016664,"PESE6","Forb/Herb","Native",0,0.3,1,1
"6","Agrimonia parviflora",6,0.111110000011116,"AGPA6","Forb/Herb","Native",0,0.2,1,1.5
"6","Asclepias syriaca",6,0.111110000011116,"ASSY","Forb/Herb","Native",0,0.2,0,
"6","Cirsium arvense",6,0.111110000011116,"CIAR4","Forb/Herb","Introduced",0,0.2,0,
"6","Clinopodium vulgare",6,0.111110000011116,"CLVU","Forb/Herb","Native",0,0.2,0,
"6","Galium aparine",6,0.111110000011116,"GAAP2","Forb/Herb","Native",0,0.2,1,1.5
"6","Lobelia cardinalis",6,0.111110000011116,"LOCA2","Forb/Herb","Native",0,0.2,1,1.5
"6","Lobelia inflata",6,0.111110000011116,"LOIN","Forb/Herb","Native",0,0.2,0,
"6","Scutellaria lateriflora",6,0.111110000011116,"SCLA2","Forb/Herb","Native",0,0.2,0,
"6","Symphyotrichum lateriflorum",6,0.111110000011116,"SYLA4","Forb/Herb","Native",0,0.2,0,
"6","Urtica dioica",6,0.111110000011116,"URDI","Forb/Herb","Native",0,0.2,0,
"6","Bidens tripartita",6,0.0555550000055582,"BITR","Forb/Herb","Native",0,0.1,1,1
"6","Maianthemum racemosum",6,0.0555550000055582,"MARA7","Forb/Herb","Native",0,0.1,0,
"6","Agrimonia gryposepala",6,0.0222220000022255,"AGGR2","Forb/Herb","Native",0,0,1,1.5
"6","Geranium maculatum",6,0.0222220000022255,"GEMA","Forb/Herb","Native",0,0,0,
"6","Persicaria sagittata",6,0.0222220000022255,"PESA20","Forb/Herb","Native",0,0,0,
"6","Onoclea sensibilis",7,1.13332200011333,"ONSE","Fern/fern ally","Native",0.1,3,0,
"6","Equisetum arvense",7,0.55555000005556,"EQAR","Fern/fern ally","Native",0,1,1,1.5
"6","Thelypteris palustris",7,0.55555000005556,"THPA","Fern/fern ally","Native",0,1,0,
"6","Dryopteris carthusiana",7,0.499995000050002,"DRCA11","Fern/fern ally","Native",0,1,0,
"6","Athyrium angustum",7,0.0222220000022255,"ATAN2","Fern/fern ally","Native",0,0,0,
"6","Sphagnum",8,0.55555000005556,"SPHAG2","Nonvascular","Unknown",0,1,0,
"7","Fraxinus pennsylvanica",1,5.07688420466535,"FRPE","Tree","Native",0,5,1,5
"7","Fraxinus pennsylvanica",1,5.07688420466535,"FRPE","Tree","Native",0,1,0,
"7","Ulmus americana",1,0.562476827958214,"ULAM","Tree","Native",0,0,0,
"7","Acer saccharinum",1,0.477111147525255,"ACSA2","Tree","Native",0,1,0,
"7","Fagus grandifolia",1,0.34570103288355,"FAGR","Tree","Native",0,1,1,5
"7","Fagus grandifolia",1,0.34570103288355,"FAGR","Tree","Native",0,0,0,
"7","Carpinus caroliniana",1,0.302820808859661,"CACA18","Tree","Native",0,0.1,1,5
"7","Carya ovata",1,0.262776148532384,"CAOV2","Tree","Native",0,0.5,1,5
"7","Carya ovata",1,0.262776148532384,"CAOV2","Tree","Native",0,0.1,0,
"7","Celtis occidentalis",1,0.148569942872001,"CEOC","Tree","Native",0,0.4,1,5
"7","Carya cordiformis",1,0.119992269530367,"CACO15","Tree","Native",0,0.3,1,5
"7","Carya cordiformis",1,0.119992269530367,"CACO15","Tree","Native",0,0,0,
"7","Fraxinus nigra",1,0.0571422857200021,"FRNI","Tree","Native",0,0.1,1,5
"7","Quercus macrocarpa",1,0.0457138285759995,"QUMA2","Tree","Native",0,0.2,0,
"7","Acer nigrum",1,0.0285711428600011,"ACNI5","Tree","Native",0,0.1,0,
"7","Asimina triloba",1,0.0199998000020019,"ASTR","Tree","Native",0,0,1,5
"7","Quercus bicolor",1,0.0171426857159984,"QUBI","Tree","Native",0,0.1,0,
"7","Acer saccharum",1,0.0171420326678384,"ACSA3","Tree","Native",0,0,1,5
"7","Acer saccharum",1,0.0171420326678384,"ACSA3","Tree","Native",0,0,0,
"7","Prunus serotina",1,0.014285571429995,"PRSE2","Tree","Native",0,0,0,
"7","Acer rubrum",1,0.00285711428600344,"ACRU","Tree","Native",0,0,0,
"7","Liriodendron tulipifera",1,0.00285711428600344,"LITU","Tree","Native",0,0,0,
"7","Sassafras albidum",1,0.00285711428600344,"SAAL5","Tree","Native",0,0,0,
"7","Zanthoxylum americanum",3,1.97986738612775,"ZAAM","Shrub/Subshrub","Native",0,5,0.5,2
"7","Rosa multiflora",3,0.747199072270366,"ROMU","Shrub/Subshrub","Introduced",0,1.5,0.5,1
"7","Rosa multiflora",3,0.747199072270366,"ROMU","Shrub/Subshrub","Introduced",0,1,,
"7","Rubus occidentalis",3,0.411424457183995,"RUOC","Shrub/Subshrub","Native",0,1,,
"7","Ilex verticillata",3,0.374271359433354,"ILVE","Shrub/Subshrub","Native",0,1,0.5,2
"7","Ilex verticillata",3,0.374271359433354,"ILVE","Shrub/Subshrub","Native",0,0,,
"7","Rubus allegheniensis",3,0.371424857180003,"RUAL","Shrub/Subshrub","Native",0,0.5,0.5,2
"7","Lindera benzoin",3,0.368498030002551,"LIBE3","Shrub/Subshrub","Native",0,1.5,0.5,2
"7","Lindera benzoin",3,0.368498030002551,"LIBE3","Shrub/Subshrub","Native",0,0,,
"7","Cephalanthus occidentalis",3,0.262839820728311,"CEOC2","Shrub/Subshrub","Native",0,0.5,0.5,2
"7","Cephalanthus occidentalis",3,0.262839820728311,"CEOC2","Shrub/Subshrub","Native",0,0,,
"7","Cornus racemosa",3,0.225655703189909,"CORA6","Shrub/Subshrub","Native",0,0.5,0.5,2
"7","Cornus racemosa",3,0.225655703189909,"CORA6","Shrub/Subshrub","Native",0,0.1,,
"7","Rosa palustris",3,0.171426857159995,"ROPA","Shrub/Subshrub","Native",0,0.3,0.5,2
"7","Viburnum lentago",3,0.171426857159995,"VILE","Shrub/Subshrub","Native",0,0.3,0.5,2
"7","Lonicera morrowii",3,0.0285711428600011,"LOMO2","Shrub/Subshrub","Introduced",0,0,,
"7","Ribes americanum",3,0.0285711428600011,"RIAM2","Shrub/Subshrub","Native",0,0,,
"7","Toxicodendron rydbergii",3,0.0285711428600011,"TORY","Shrub/Subshrub","Native",0,0,,
"7","Elaeagnus umbellata",3,0.0171426857159984,"ELUM","Shrub/Subshrub","Introduced",0,0,0.5,2
"7","Ligustrum vulgare",3,0.00571422857199577,"LIVU","Shrub/Subshrub","Introduced",0,0,0.5,2
"7","Sambucus nigra",3,0.00571422857199577,"SANI4","Shrub/Subshrub","Native",0,0,0.5,2
"7","Toxicodendron radicans",4,2.07245210993423,"TORA2","Vine/Liana","Native",0.2,5,0,0.3
"7","Vitis riparia",4,1.17084383606743,"VIRI","Vine/Liana","Native",0,0.3,1,5
"7","Vitis riparia",4,1.17084383606743,"VIRI","Vine/Liana","Native",0,1.5,0,
"7","Parthenocissus quinquefolia",4,0.388545665782514,"PAQU2","Vine/Liana","Native",0,1.5,0,
"7","Menispermum canadense",4,0.114260082133877,"MECA3","Vine/Liana","Native",0,0.1,1,5
"7","Menispermum canadense",4,0.114260082133877,"MECA3","Vine/Liana","Native",0,0.2,0,
"7","Euonymus obovatus",4,0.0114284571440026,"EUOB8","Vine/Liana","Native",0,0,0,
"7","Smilax hispida",4,0.00571422857199577,"SMHI","Vine/Liana","Native",0,0,1,5
"7","Carex grayi",5,4.34281371471999,"CAGR5","Grass/grass-like (Graminoids)","Native",0,15,0.2,0.4
"7","Glyceria striata",5,3.522821914638,"GLST","Grass/grass-like (Graminoids)","Native",0.1,8,0.2,0.4
"7","Leersia virginica",5,3.18853954317599,"LEVI2","Grass/grass-like (Graminoids)","Native",0,7,0.1,0.2
"7","Carex lacustris",5,3.125683028884,"CALA16","Grass/grass-like (Graminoids)","Native",0,10,1,1.5
"7","Cinna arundinacea",5,3.054255171734,"CIAR2","Grass/grass-like (Graminoids)","Native",0,12,0.4,1
"7","Elymus virginicus",5,3.03996960030399,"ELVI3","Grass/grass-like (Graminoids)","Native",0,7,0.2,0.4
"7","Leersia oryzoides",5,2.857114286,"LEOR","Grass/grass-like (Graminoids)","Native",0,4.5,1,1.5
"7","Carex bromoides",5,0.999990000100004,"CABR14","Grass/grass-like (Graminoids)","Native",0,2,0,
"7","Carex vulpinoidea",5,0.542851714339998,"CAVU2","Grass/grass-like (Graminoids)","Native",0,1,1,1
"7","Carex lupulina",5,0.405710228612,"CALU4","Grass/grass-like (Graminoids)","Native",0,1,1,1.5
"7","Phalaris arundinacea",5,0.342853714320002,"PHAR3","Grass/grass-like (Graminoids)","Native",0,1,1,1.5
"7","Carex cristatella",5,0.239997600024,"CACR7","Grass/grass-like (Graminoids)","Native",0,0.5,1,1
"7","Carex tuckermanii",5,0.177141085732002,"CATU2","Grass/grass-like (Graminoids)","Native",0,0.5,0,
"7","Carex intumescens",5,0.15714128573,"CAIN12","Grass/grass-like (Graminoids)","Native",0,0.3,1,1
"7","Carex bebbii",5,0.122855914298003,"CABE2","Grass/grass-like (Graminoids)","Native",0,0.3,0.2,0.4
"7","Carex grisea",5,0.0571422857200021,"CAGR24","Grass/grass-like (Graminoids)","Native",0,0.1,0,
"7","Bromus ciliatus",5,0.0285711428600011,"BRCI2","Grass/grass-like (Graminoids)","Native",0,0,1,1
"7","Calamagrostis canadensis",5,0.0285711428600011,"CACA4","Grass/grass-like (Graminoids)","Native",0,0,1,1.5
"7","Carex crinita",5,0.0285711428600011,"CACR6","Grass/grass-like (Graminoids)","Native",0,0,1,1.5
"7","Carex hirtifolia",5,0.0285711428600011,"CAHI5","Grass/grass-like (Graminoids)","Native",0,0,0,
"7","Carex stipata",5,0.0285711428600011,"CAST5","Grass/grass-like (Graminoids)","Native",0,0,1,1
"7","Carex swanii",5,0.0285711428600011,"CASW","Grass/grass-like (Graminoids)","Native",0,0,0,
"7","Carex radiata",5,0.0257140285739976,"CARA8","Grass/grass-like (Graminoids)","Native",0,0,0,
"7","Carex scoparia",5,0.0228569142880053,"CASC11","Grass/grass-like (Graminoids)","Native",0,0,1,1
"7","Carex lupuliformis",5,0.00571422857199577,"CALU3","Grass/grass-like (Graminoids)","Native",0,0,0,
"7","Amphicarpaea bracteata",6,3.11425457173999,"AMBR2","Forb/Herb","Native",0,9,0,
"7","Boehmeria cylindrica",6,3.059969400306,"BOCY","Forb/Herb","Native",0.1,10,1,1
"7","Pilea pumila",6,3.05711228601999,"PIPU2","Forb/Herb","Native",0,5,0.1,0.2
"7","Persicaria virginiana",6,2.962827514582,"PEVI13","Forb/Herb","Native",0.3,5,0.2,0.3
"7","Laportea canadensis",6,1.95712328591,"LACA3","Forb/Herb","Native",0,6,0,
"7","Impatiens capensis",6,1.5714128573,"IMCA","Forb/Herb","Native",0,5,1,1.5
"7","Bidens frondosa",6,1.179988200118,"BIFR","Forb/Herb","Native",0,3,1,1
"7","Symphyotrichum ontarionis",6,0.839991600084,"SYON2","Forb/Herb","Native",0,2,0,
"7","Arisaema triphyllum",6,0.548565942912005,"ARTR","Forb/Herb","Native",0,0.5,0.1,0.3
"7","Bidens tripartita",6,0.434281371472001,"BITR","Forb/Herb","Native",0,1,1,1
"7","Urtica dioica",6,0.434281371472001,"URDI","Forb/Herb","Native",0,1,0,
"7","Symphyotrichum lanceolatum",6,0.291425657171995,"SYLA6","Forb/Herb","Native",0,0.5,0,
"7","Solidago gigantea",6,0.257140285739998,"SOGI","Forb/Herb","Native",0,0.4,1,1.5
"7","Geum canadense",6,0.254283171453995,"GECA7","Forb/Herb","Native",0,0.5,1,1
"7","Torilis japonica",6,0.205712228592003,"TOJA","Forb/Herb","Introduced",0,0.5,0,
"7","Phytolacca americana",6,0.199998000019996,"PHAM4","Forb/Herb","Native",0,0.4,1,1.5
"7","Pilea fontana",6,0.199998000019996,"PIFO","Forb/Herb","Native",0,0.3,0,
"7","Solidago canadensis",6,0.199998000019996,"SOCA6","Forb/Herb","Native",0,0.3,1,1
"7","Lemna turionifera",6,0.179998200017994,"LETU2","Forb/Herb","Native",0,0.4,0,
"7","Hackelia virginiana",6,0.142855714300005,"HAVI2","Forb/Herb","Native",0,0.2,0,
"7","Iris virginica",6,0.142855714300005,"IRVI","Forb/Herb","Native",0,0.2,1,1
"7","Scutellaria lateriflora",6,0.134284371441995,"SCLA2","Forb/Herb","Native",0,0.3,0,
"7","Cryptotaenia canadensis",6,0.114284571440004,"CRCA9","Forb/Herb","Native",0,0.2,0,
"7","Verbena urticifolia",6,0.114284571440004,"VEUR","Forb/Herb","Native",0,0.2,0,
"7","Circaea canadensis",6,0.105713228582005,"CICA13","Forb/Herb","Native",0,0.2,0,
"7","Lysimachia ciliata",6,0.102856114296002,"LYCI","Forb/Herb","Native",0,0.3,0,
"7","Caltha palustris",6,0.0971418857239947,"CAPA5","Forb/Herb","Native",0,0.2,0.5,0.5
"7","Alliaria petiolata",6,0.0857134285800032,"ALPE4","Forb/Herb","Introduced",0,0.1,0,
"7","Persicaria hydropiperoides",6,0.0857134285800032,"PEHY7","Forb/Herb","Native",0,0.1,0,
"7","Solidago rugosa",6,0.0857134285800032,"SORU2","Forb/Herb","Native",0,0.1,1,1
"7","Alisma subcordatum",6,0.0571422857200021,"ALSU","Forb/Herb","Native",0,0.1,1,1.5
"7","Asclepias incarnata",6,0.0571422857200021,"ASIN","Forb/Herb","Native",0,0.1,1,1.5
"7","Lysimachia nummularia",6,0.0571422857200021,"LYNU","Forb/Herb","Introduced",0,0.1,0,
"7","Rumex verticillatus",6,0.0571422857200021,"RUVE3","Forb/Herb","Native",0,0.1,0,
"7","Sium suave",6,0.0571422857200021,"SISU2","Forb/Herb","Native",0,0.1,0,
"7","Sparganium americanum",6,0.0571422857200021,"SPAM","Forb/Herb","Native",0,0.1,1,1
"7","Viola sororia",6,0.0571422857200021,"VISO","Forb/Herb","Native",0,0.1,1,1.5
"7","Sanicula odorata",6,0.0457138285759995,"SAOD","Forb/Herb","Native",0,0.1,0,
"7","Asarum canadense",6,0.042856714289996,"ASCA","Forb/Herb","Native",0,0.1,0,
"7","Agrimonia gryposepala",6,0.0285711428600011,"AGGR2","Forb/Herb","Native",0,0,1,1.5
"7","Campanulastrum americanum",6,0.0285711428600011,"CAAM18","Forb/Herb","Native",0,0,1,1.5
"7","Geum vernum",6,0.0285711428600011,"GEVE","Forb/Herb","Native",0,0,1,1.5
"7","Glechoma hederacea",6,0.0285711428600011,"GLHE2","Forb/Herb","Introduced",0,0,0,
"7","Maianthemum canadense",6,0.0285711428600011,"MACA4","Forb/Herb","Native",0,0,0,
"7","Polygonatum pubescens",6,0.0285711428600011,"POPU4","Forb/Herb","Native",0,0,0,
"7","Polymnia canadensis",6,0.0285711428600011,"POCA11","Forb/Herb","Native",0,0,0,
"7","Lycopus americanus",6,0.0257140285739976,"LYAM","Forb/Herb","Native",0,0,0.1,0.2
"7","Galium aparine",6,0.0171426857159984,"GAAP2","Forb/Herb","Native",0,0,1,1.5
"7","Hesperis matronalis",6,0.014285571429995,"HEMA3","Forb/Herb","Introduced",0,0,1,1.5
"7","Acorus calamus",6,0.0114284571440026,"ACCA4","Forb/Herb","Introduced",0,0,1,1.5
"7","Geranium maculatum",6,0.0114284571440026,"GEMA","Forb/Herb","Native",0,0,0,
"7","Acalypha rhomboidea",6,0.00571422857199577,"ACRH","Forb/Herb","Native",0,0,0,
"7","Arctium minus",6,0.00571422857199577,"ARMI2","Forb/Herb","Introduced",0,0,0,
"7","Cicuta maculata",6,0.00571422857199577,"CIMA2","Forb/Herb","Native",0,0,0.1,0.3
"7","Senecio hieraciifolius",6,0.00571422857199577,"SEHI3","Forb/Herb","Native",0,0,0,
"7","Solidago caesia",6,0.00571422857199577,"SOCA4","Forb/Herb","Native",0,0,1,1
"7","Symphyotrichum lateriflorum",6,0.00571422857199577,"SYLA4","Forb/Herb","Native",0,0,0,
"7","Maianthemum racemosum",6,0.00285711428600344,"MARA7","Forb/Herb","Native",0,0,0,
"7","Dryopteris carthusiana",7,0.59999400006,"DRCA11","Fern/fern ally","Native",0,2,0,
"7","Onoclea sensibilis",7,0.545708828626001,"ONSE","Fern/fern ally","Native",0,1,0,
"7","Equisetum arvense",7,0.0285711428600011,"EQAR","Fern/fern ally","Native",0,0,1,1.5
"7","Parathelypteris noveboracensis",7,0.0285711428600011,"PANO","Fern/fern ally","Native",0,0,0,
"7","Athyrium angustum",7,0.0171426857159984,"ATAN2","Fern/fern ally","Native",0,0,0,
"7","Dryopteris intermedia",7,0.00285711428600344,"DRIN5","Fern/fern ally","Native",0,0,0,
"7","Osmunda spectabilis",7,0.00285711428600344,"OSSP3","Fern/fern ally","Native",0,0,0,
"7","Thelypteris palustris",7,0.00285711428600344,"THPA","Fern/fern ally","Native",0,0,0,
